"Zoznam webových sídiel, ku ktorým boli vydané príkazy súdu na zamedzenie prístupu k webovému sídlu, 
zostavený dňa 27. 06. 2024";;;;
Zoznam má informatívny charakter. Povinnosť zamedziť prístup k webovému sídlu vzniká až doručením príkazu súdu poskytovateľovi internetu. Príkazy súdu uvedené v zozname nemusia byť ešte v čase zverejnenia doručené poskytovateľovi internetu. Zoznam neobsahuje príkazy súdu, ktoré boli zrušené. Zoznam neobsahuje príkazy súdu k blokovaniu účtov.;;;;
;web;zamedzenie v rozsahu domény;príkaz súdu č.;príkaz súdu zo dňa
1;https://www.bet365.com;bet365.com;"6Ntn/2/2017
6Ntn/53/2018 (16.8.2022)";11.8.2017
2;https://www.williamhill.com;williamhill.com;"6Ntn/4/2017
6Ntn/54/2018 (16.8.2022)";22.8.2017
3;https://www.betfair.com;betfair.com;"6Ntn/11/2017
6Ntn/57/2018 (16.8.2022)";25.9.2017
4;https://www.jetbull.com;jetbull.com;"6Ntn/9/2017
6Ntn/56/2018 (16.8.2022)";25.9.2017
5;https://www.365-808.com;365-808.com;"6Ntn/13/2017
6Ntn/58/2018 (16.8.2022)";23.10.2017
6;https://www.38365365.com;38365365.com;"6Ntn/14/2017
6Ntn/59/2018 (16.8.2022)";23.10.2017
7;https://www.635288.com ;635288.com ;"6Ntn/15/2017
6Ntn/60/2018 (16.8.2022)";23.10.2017
8;https://www.288365.com ;288365.com ;"6Ntn/16/2017
6Ntn/61/2018 (16.8.2022)";23.10.2017
9;https://www.48365365.com ;48365365.com ;6Ntn/17/2017;23.10.2017
10;https://www.48365-365.com ;48365-365.com ;6Ntn/18/2017;23.10.2017
11;https://www.121-365sb.com ;121-365sb.com ;6Ntn/19/2017;23.10.2017
12;https://www.48-365365.com ;48-365365.com ;6Ntn/20/2017;23.10.2017
13;https://www.635-288.com ;635-288.com ;6Ntn/21/2017;23.10.2017
14;https://www.28-365365.com ;28-365365.com ;6Ntn/22/2017;23.10.2017
15;https://www.28365-365.com ;28365-365.com ;6Ntn/23/2017;23.10.2017
16;https://www.sb-488.com ;sb-488.com ;6Ntn/24/2017;23.10.2017
17;https://www.123365-sb.com;123365-sb.com;6Ntn/25/2017;23.10.2017
18;https://www.288563.com;288563.com;6Ntn/26/2017;23.10.2017
19;https://www.288-365.com;288-365.com;6Ntn/27/2017;23.10.2017
20;https://www.38365-365.com;38365-365.com;6Ntn/28/2017;23.10.2017
21;https://www.188-563.com;188-563.com;6Ntn/29/2017;23.10.2017
22;https://www.365-818.com  ;365-818.com  ;6Ntn/30/2017;23.10.2017
23;https://www.788-sb.com  ;788-sb.com  ;6Ntn/31/2017;23.10.2017
24;https://www.allsport365.com  ;allsport365.com  ;6Ntn/32/2017;23.10.2017
25;https://www.288-563.com  ;288-563.com  ;6Ntn/33/2017;23.10.2017
26;https://www.28365365.com  ;28365365.com  ;6Ntn/34/2017;23.10.2017
27;https://www.365sb.com  ;365sb.com  ;6Ntn/35/2017;23.10.2017
28;https://www.878365.com;878365.com;6Ntn/36/2017;23.10.2017
29;https://www.365sport365.com  ;365sport365.com;6Ntn/37/2017;23.10.2017
30;https://www.bet365.com.au;bet365.com.au;6Ntn/39/2017;9.11.2017
31;https://www.bet365.es;bet365.es;6Ntn/42/2017;9.11.2017
32;https://www.bet365.it;bet365.it;6Ntn/40/2017;9.11.2017
33;https://www.bet365.gr  ;bet365.gr  ;6Ntn/38/2017;9.11.2017
34;https://www.betsson.com;betsson.com;6Ntn/45/2017;28.12.2017
35;https://www.nordicbet.com;nordicbet.com;6Ntn/46/2017;28.12.2017
36;https://www.unibet.com;unibet.com;6Ntn/47/2017;28.12.2017
37;https://www.bet365.dk;bet365.dk;6Ntn/48/2017;28.12.2017
38;https://www.betsafe.com;betsafe.com;6Ntn/4/2018;22.1.2018
39;https://www.winmasters.com;winmasters.com;6Ntn/2/2018;22.1.2018
40;https://www.stanjames.com;stanjames.com;6Ntn/1/2018;22.1.2018
41;http://www.boylesports.com;boylesports.com;6Ntn/14/2018;26.2.2018
42;https://www.tempobet.com;tempobet.com;6Ntn/12/2018;26.2.2018
43;https://www.188-sb.com;188-sb.com;6Ntn/41/2018;22.5.2018
44;https://www.game-365.com;game-365.com;6Ntn/42/2018;22.5.2018
45;https://www.365-288.com ;365-288.com ;6Ntn/43/2018;22.5.2018
46;https://www.36500365.com;36500365.com;6Ntn/44/2018;22.5.2018
47;https://www.38-365365.com ;38-365365.com ;6Ntn/45/2018;22.5.2018
48;https://www.188sb.com ;188sb.com ;6Ntn/46/2018;22.5.2018
49;https://www.288sb.com;288sb.com;6Ntn/39/2018;22.5.2018
